id,lat,long,mun,dep
AECH,3.724943347,-75.46599057,Chaparral,Tolima
AEFO,1.588934895,-75.56214765,Florencia,Caquetá
AEGU,4.80967974,-74.0575916,"Bogotá, D.C.","Bogotá, D.C."
AGCA,8.315049971,-73.59541661,Aguachica,Cesar
ALBE,7.760539944,-73.38942856,San Alberto,Cesar
ANDS,12.58634632,-81.70073086,San Andrés,San Andrés Providencia y Santa Catalina
APTO,7.87778696,-76.63239163,Apartadó,Antioquia
ARCA,7.084280342,-70.75852978,Arauca,Arauca
BECE,9.70212773,-73.27927227,Becerril,Cesar
BEJA,7.060638919,-73.87558888,Barrancabermeja,Santander
BERR,6.492683468,-74.4103105,Puerto Berrío,Antioquia
BNGA,7.104898634,-73.12373155,Bucaramanga,Santander
BOGA,4.638678634,-74.07994866,"Bogotá, D.C.","Bogotá, D.C."
BOSC,9.966901649,-73.88623614,Bosconia,Cesar
BQLA,11.01971928,-74.8496328,Barranquilla,Atlántico
CALI,3.375785081,-76.53256481,Cali,Valle del Cauca
CAN0,6.18521499,-67.48212167,Puerto Carreño,Vichada
CART,10.39135931,-75.53387368,Cartagena De Indias,Bolívar
CASI,7.988844214,-75.20003608,Caucasia,Antioquia
CUCU,7.898471471,-72.48793945,Cúcuta,Norte de Santander
DORA,5.453847441,-74.6633165,La Dorada,Caldas
FQNE,5.467342084,-73.73480918,Fúquene,Cundinamarca
GARA,5.081344423,-73.36004139,Garagoa,Boyacá
GGUE,9.242332333,-74.75986504,Magangué,Bolívar
IBAG,4.428046869,-75.21472689,Ibagué,Tolima
INIR,3.866204626,-67.925825,Inírida,Guainía
LETA,-4.214178713,-69.94297047,Leticia,Amazonas
MEDE,6.199452719,-75.57889674,Medellín,Antioquia
MOTE,8.79196493,-75.86066952,Montería,Córdoba
NEVA,2.937298828,-75.29303176,Neiva,Huila
OVEJ,9.528968831,-75.22781164,Ovejas,Sucre
PAMP,7.384179842,-72.64778988,Pamplona,Norte de Santander
PERA,4.792499884,-75.68952575,Pereira,Risaralda
POPA,2.443112952,-76.60120617,Popayán,Cauca
PSTO,1.211709124,-77.2770817,Pasto,Nariño
QUIB,5.699636757,-76.65673103,Quibdó,Chocó
RIOH,11.51322124,-72.86969946,Riohacha,La Guajira
RUBI,3.793398486,-71.42376399,Puerto Gaitán,Meta
SAMA,11.22525233,-74.18709541,Santa Marta,Magdalena
SINC,9.315625295,-75.38768817,Sincelejo,Sucre
SNSN,5.71507599,-75.30834169,Sonsón,Antioquia
TUMA,1.822288895,-78.73041283,Tumaco,Nariño
TUNA,5.531338676,-73.36388952,Tunja,Boyacá
TUQU,1.093968483,-77.63098129,Túquerres,Nariño
VALL,10.47396403,-73.25196025,Valledupar,Cesar
VIVI,4.07467291,-73.58399567,Villavicencio,Meta
YOPA,5.321759942,-72.38899413,Yopal,Casanare
ZARZ,4.396616828,-76.06757822,Zarzal,Valle del Cauca
SJNE,9.956734571,-75.07499613,San Juan Nepomuceno,Bolívar
SONE,9.728130563,-75.52493968,San Onofre,Sucre
AEP1,3.200174498,-75.64111299,Planadas,Tolima
SILP,2.607571572,-76.37314551,Silvia,Cauca
SUES,2.944716888,-76.70685547,Suárez,Cauca
EBPT,7.591815423,-74.79149032,El Bagre,Antioquia
PULE,3.253734694,-73.39537509,Puerto Lleras,Meta
SOCB,5.996692268,-72.69852436,Socha,Boyacá
BUEN,3.882023811,-77.01042015,Buenaventura,Valle del Cauca
TARZ,7.570011461,-75.40725409,Tarazá,Antioquia
BOGT,4.640074,-74.08094,"Bogotá, D.C.","Bogotá, D.C."
ABPW,4.689569064,-73.99511459,La Calera,Cundinamarca
ABCC,4.661233897,-74.12692194,"Bogotá, D.C.","Bogotá, D.C."
ABPD,4.476566222,-74.09886813,"Bogotá, D.C.","Bogotá, D.C."
AQTA,7.025032273,-71.40690707,Arauquita,Arauca
LIPA,6.787894455,-71.02527583,Arauquita,Arauca
RSLA,5.045653683,-70.72364148,Santa Rosalía,Vichada
AGAB,10.58490347,-74.18934999,Aracataca,Magdalena
SUAN,10.34037741,-74.87994206,Suan,Atlántico
SDTA,8.083455478,-72.80228584,Sardinata,Norte de Santander
TIBU,8.631430658,-72.73610114,Tibu,Norte de Santander
TUMC,1.550874622,-78.69786959,Tumaco,Nariño
COLH,3.530816953,-74.71845263,Colombia,Huila
ZBNO,9.735320556,-74.83506361,Zambrano,Bolívar
CMNI,9.201947,-73.531596,Curumaní,Cesar
PINI,8.914462,-74.458681,Pinillos,Bolívar
NSRI,8.536864,-74.034979,Norosí,Bolívar
ARGL,2.288465,-77.240415,Argelia,Cauca
PTIA,1.972752,-77.119639,Patia,Cauca
SARO,1.705623,-76.573034,Santa Rosa,Cauca
MGUI,1.763059,-78.180865,Magüí Payán,Nariño
CMBI,1.652002,-77.579536,Cumbitara,Nariño
GVRE,2.571673619,-72.64122027,San José del Guaviare,Guaviare
